['Skip', 'to', 'content']
['preciso', 'tomar', 'medidas']
['tomar', 'medidas', 'para']
['medidas', 'para', 'proteger']
['para', 'proteger', 'a']
['proteger', 'a', 'propriedade']
['a', 'propriedade', 'intelectual']
['utilizadas', 'para', 'garantir']
['para', 'garantir', 'aspectos']
['garantir', 'aspectos', 'factuais']
['aspectos', 'factuais', 'do']
['factuais', 'do', 'uso']
['do', 'uso', 'do']
['uso', 'do', 'software']
['direitos', 'autorais', 'do']
['autorais', 'do', 'programa']
['do', 'programa', 'por']
['utilizados', 'para', 'proteger']
['para', 'proteger', 'o']
['proteger', 'o', 'lado']
['código', 'Embora', 'a']
['Embora', 'a', 'entrega']
['a', 'entrega', 'do']
['entrega', 'do', 'códigofonte']
['tornando', 'cada', 'vez']
['preparar', 'para', 'eventuais']
['para', 'eventuais', 'problemas']
['eventuais', 'problemas', 'Estar']
['problemas', 'Estar', 'por']
['Estar', 'por', 'dentro']
['por', 'dentro', 'dos']
['dentro', 'dos', 'principais']
['dos', 'principais', 'riscos']
['principais', 'riscos', 'e']
['fundamental', 'para', 'a']
['para', 'a', 'proteção']
['a', 'proteção', 'intelectual']
['proteção', 'intelectual', 'e']
['intelectual', 'e', 'para']
['e', 'para', 'garantir']
['para', 'garantir', 'a']
['garantir', 'a', 'segurança']
['a', 'segurança', 'das']
['segurança', 'das', 'informações']
['maneira', 'interessante', 'de']
['interessante', 'de', 'evitar']
['direitos', 'da', 'propriedade']
['da', 'propriedade', 'intelectual']
['propriedade', 'intelectual', 'do']
['intelectual', 'do', 'códigofonte']
['de', 'negociação', 'deve']
['realizada', 'desde', 'o']
['desde', 'o', 'início']
['o', 'início', 'do']
['início', 'do', 'projeto']
['do', 'projeto', 'evitando']
['projeto', 'evitando', 'maiores']
['evitando', 'maiores', 'problemas']
['maiores', 'problemas', 'Então']
['problemas', 'Então', 'no']
['Então', 'no', 'contrato']
['no', 'contrato', 'inicial']
['deve', 'haver', 'cláusulas']
['haver', 'cláusulas', 'e']
['cláusulas', 'e', 'outras']
['e', 'outras', 'informações']
['o', 'direito', 'do']
['direito', 'do', 'códigofonte']
['do', 'códigofonte', 'Dessa']
['códigofonte', 'Dessa', 'forma']
['Dessa', 'forma', 'o']
['forma', 'o', 'programador']
['o', 'programador', 'e']
['programador', 'e', 'o']
['e', 'o', 'cliente']
['longo', 'do', 'processo']
['partes', 'poderão', 'discutir']
['poderão', 'discutir', 'o']
['melhor', 'e', 'chegar']
['e', 'chegar', 'a']
['consenso', 'Certamente', 'valerá']
['Certamente', 'valerá', 'a']
['valerá', 'a', 'pena']
['a', 'pena', 'E']
['pena', 'E', 'aí']
['E', 'aí', 'gostou']
['aí', 'gostou', 'do']
['artigo', 'Então', 'deixe']
['comentário', 'e', 'participe']
['e', 'participe', 'do']
['produção', 'de', 'conteúdo']
['rockauto', 'Artigos', 'propriedade']
['Artigos', 'propriedade', 'intelectual']
['propriedade', 'intelectual', 'sourcecode']
['Comentários', 'Descubra', 'tudo']
['a', 'utilização', 'do']
['utilização', 'do', 'PMBOK']
['do', 'PMBOK', 'Galeria']
['PMBOK', 'Galeria', 'Descubra']
['Galeria', 'Descubra', 'tudo']
['a', 'utilização', 'do']
['utilização', 'do', 'PMBOK']
['Comentários', 'Multicloud', 'saiba']
['Multicloud', 'saiba', 'tudo']
['a', 'estratégia', 'e']
['estratégia', 'e', 'como']
['e', 'como', 'começar']
['como', 'começar', 'Galeria']
['começar', 'Galeria', 'Multicloud']
['Galeria', 'Multicloud', 'saiba']
['Multicloud', 'saiba', 'tudo']
['a', 'estratégia', 'e']
['estratégia', 'e', 'como']
['e', 'como', 'começar']
['User', 'Experience', 'UX']
['Experience', 'UX', 'Galeria']
['UX', 'Galeria', 'O']
['User', 'Experience', 'UX']
['Comentários', 'Saiba', 'a']
['Saiba', 'a', 'importância']
['a', 'importância', 'de']
['release', 'planning', 'bem']
['planning', 'bem', 'estruturado']
['bem', 'estruturado', 'Galeria']
['estruturado', 'Galeria', 'Saiba']
['Galeria', 'Saiba', 'a']
['Saiba', 'a', 'importância']
['a', 'importância', 'de']
['release', 'planning', 'bem']
['planning', 'bem', 'estruturado']
['Comentários', 'Como', 'eliminar']
['Como', 'eliminar', 'gargalos']
['o', 'mapeamento', 'de']
['mapeamento', 'de', 'fluxo']
['de', 'fluxo', 'de']
['fluxo', 'de', 'valor']
['de', 'valor', 'Galeria']
['valor', 'Galeria', 'Como']
['Galeria', 'Como', 'eliminar']
['Como', 'eliminar', 'gargalos']
['o', 'mapeamento', 'de']
['mapeamento', 'de', 'fluxo']
['de', 'fluxo', 'de']
['fluxo', 'de', 'valor']
['ajudou', 'bastante', 'entender']
['bastante', 'entender', 'dois']
['entender', 'dois', 'pontos']
['dois', 'pontos', 'como']
['pontos', 'como', 'geralmente']
['como', 'geralmente', 'a']
['geralmente', 'a', 'entrega']
['a', 'entrega', 'dos']
['entrega', 'dos', 'códigos']
['feitas', 'e', 'como']
['e', 'como', 'garantir']
['direitos', 'autorais', 'e']
['autorais', 'e', 'de']
['e', 'de', 'propriedade']
['de', 'propriedade', 'do']
['desenvolvido', 'Responder', 'Obrigado']
['comentário', 'Rodrigo', 'fico']
['Rodrigo', 'fico', 'contente']
['conseguimos', 'ajudar', '😀']
['ajudar', '😀', 'Responder']
['plataforma', 'e', 'contratei']
['empresa', 'de', 'programação']
['de', 'programação', 'de']
['o', 'código', 'fonte']
['obrigado', 'e', 'parabéns']
['blog', 'Responder', 'Daniel']
['vai', 'depender', 'de']
['depender', 'de', 'como']
['de', 'como', 'o']
['como', 'o', 'contrato']
['final', 'do', 'projeto']
['passado', 'para', 'o']
['para', 'o', 'dono']
['o', 'dono', 'do']
['dono', 'do', 'projeto']
['do', 'projeto', 'Cancelar']
['projeto', 'Cancelar', 'resposta']
['Cancelar', 'resposta', 'Rock']
['resposta', 'Rock', 'Convert']
['Rock', 'Convert', 'Rock']
['Convert', 'Rock', 'Convert']
['Rock', 'Convert', 'Popular']
['Convert', 'Popular', 'DevOps']
['principais', 'áreas', 'de']
['áreas', 'de', 'TI']
['de', 'TI', 'Artigos']
['TI', 'Artigos', 'Desenvolvimento']
['Artigos', 'Desenvolvimento', 'DevOps']
['Desenvolvimento', 'DevOps', 'Ebook']
['DevOps', 'Ebook', 'ITIL']
['Ebook', 'ITIL', 'Segurança']
['ITIL', 'Segurança', 'Descubra']
['Segurança', 'Descubra', 'tudo']
['a', 'utilização', 'do']
['utilização', 'do', 'PMBOK']
['do', 'PMBOK', 'TDD']
['PMBOK', 'TDD', 'BDD']
['TDD', 'BDD', 'e']
['BDD', 'e', 'DDD']
['e', 'DDD', 'entenda']
['DDD', 'entenda', 'o']
['siglas', 'Multicloud', 'saiba']
['Multicloud', 'saiba', 'tudo']
['a', 'estratégia', 'e']
['estratégia', 'e', 'como']
['e', 'como', 'começar']
['como', 'começar', 'Cadastre']
['começar', 'Cadastre', 'Aqui']
['Cadastre', 'Aqui', 'Gaea']
['Aqui', 'Gaea', 'Consulting']
[]
[]

